127.0.0.1 - - [24/Apr/2022:17:18:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Apr/2022:17:18:50 +0530] "GET /courseinfo/course.html HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [24/Apr/2022:17:18:51 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Apr/2022:17:25:51 +0530] "GET /courseinfo/java.html HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [24/Apr/2022:17:28:51 +0530] "GET /courseinfo/dotnet.html HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [24/Apr/2022:17:28:58 +0530] "POST /courseinfo/valid HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [24/Apr/2022:17:30:53 +0530] "GET /courseinfo/WEB-INF/classes/valid.java HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Apr/2022:17:33:08 +0530] "GET /courseinfo/dotnet.html HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [24/Apr/2022:17:34:27 +0530] "GET /courseinfo/course.html HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [24/Apr/2022:17:35:33 +0530] "GET /courseinfo/course.html HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [24/Apr/2022:17:35:44 +0530] "GET /courseinfo/dotnet.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2022:17:35:45 +0530] "GET /courseinfo/dotnet.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2022:17:36:34 +0530] "GET /courseinfo/dotnet.html HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [24/Apr/2022:17:40:37 +0530] "GET /courseinfo/dotnet.html HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [24/Apr/2022:17:42:06 +0530] "GET /courseinfo/dotnet.html HTTP/1.1" 200 1242
